T_K,P_atm,solver_used,iterations,residual_norm,n_Ar,n_Ar_p,n_Ar2_p,n_Ar3_p,n_Ar4_p,n_e,charge_residual,eos_residual_Pa,deltaP_DH_Pa
2500.0,0.1,custom_newton,4,1.6308605327371457e-11,2.935575950198778e+23,3831322128.2536135,1.7298760602628686e-29,1.1884971477168764e-94,1.6390331698761704e-197,3831322128.2536135,0.0,1.6524427337571979e-07,7.474864453116004e-18
2700.0,0.1,custom_newton,4,8.664557047989606e-12,2.7181258797917967e+23,58994972844.609825,2.60409460015197e-25,1.5545223502385148e-85,1.2885990724466958e-180,58994972844.609825,0.0,8.779352356214076e-08,4.3460122926909476e-16
2900.0,0.1,custom_newton,4,4.826482269203852e-12,2.5306689225436827e+23,623946574179.456,1.0482138397562173e-21,1.1390734388897393e-77,4.832052410572053e-166,623946574179.456,0.0,4.890353011433035e-08,1.4423558887301545e-14
3100.0,0.1,custom_newton,4,2.7978071422570993e-12,2.3673999597083238e+23,4873812273661.779,1.4556798533918428e-18,8.161581640977403e-71,2.428752912196411e-153,4873812273661.779,0.0,2.8347130864858627e-08,3.0455986630257284e-13
3300.0,0.1,custom_newton,4,1.6796889823637285e-12,2.2239211737663862e+23,29707599272016.812,8.460080679721945e-16,8.721131092990515e-65,3.580243000839158e-142,29707599272016.812,0.0,1.701482688076794e-08,4.4421650388688985e-12
3500.0,0.1,custom_newton,4,1.0360467806930824e-12,2.096839961447196e+23,147427116354218.94,2.3883405223259947e-13,1.9248165443025211e-59,2.8319912946084195e-132,147427116354218.94,0.0,1.0493749869056046e-08,4.768506273221121e-11
3700.0,0.1,custom_newton,4,6.576757224246354e-13,1.9834972513006015e+23,615815281909105.5,3.6810680369898134e-11,1.1326893366215854e-54,1.930228566939464e-123,615815281909105.5,0.0,6.653863238170743e-09,3.9593614942840087e-10
3900.0,0.1,custom_newton,4,4.329827505577979e-13,1.8817794107623706e+23,2223195939132879.2,3.3990182369251233e-09,2.177208583172299e-50,1.6519318079784261e-115,2223195939132879.2,0.0,4.369212547317147e-09,2.6453590801101967e-09
4100.0,0.1,custom_newton,4,2.8390423629400243e-13,1.7899851937379527e+23,7086153079438159.0,2.026368621998169e-07,1.6096646739239801e-46,2.4037549432143997e-108,7086153079438159.0,0.0,2.86672729998827e-09,1.46816271530903e-08
4300.0,0.1,custom_newton,4,1.9687008921531914e-13,1.7067297977891635e+23,2.028995066441566e+16,8.289264698527218e-06,5.228835798173326e-43,7.611674439506668e-102,2.028995066441566e+16,0.0,1.9354047253727913e-09,6.946044845297072e-08
