E_eV,Qm_A2,source,database,process,target
2.4674,3.3824,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
2.5892,3.5585,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
2.7154,3.7401,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
2.8459,3.9281,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
2.9811,4.1227,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
3.121,4.3315,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
3.2658,4.5487,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
3.4157,4.7736,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
3.5709,5.0063,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
3.7315,5.2473,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
3.8978,5.4967,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
4.0699,5.7751,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
4.2481,6.0938,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
4.4325,6.4237,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
4.6234,6.7652,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
4.821,7.1187,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
5.0256,7.5076,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
5.2373,7.9015,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
5.4565,8.3092,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
5.6834,8.7312,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
5.9183,9.1681,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
6.1614,9.6284,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
6.4131,10.109,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
6.6736,10.608,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
6.9433,11.18,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
7.2224,11.7,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
7.5114,12.22,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
7.8105,12.759,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
8.1201,13.269,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
8.4406,13.721,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
8.7724,14.165,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
9.1158,14.516,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
9.4713,14.871,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
9.8393,15.239,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
10.2202,15.488,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
10.6145,15.646,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
11,15.8,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
11.6,15.8,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
12.2,15.71,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
12.8038,15.478,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
13.2889,15.256,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
13.7911,14.957,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
14.3109,14.582,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
14.8489,14.206,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
15.4059,13.735,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
15.9824,13.216,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
16.5792,12.915,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
17.197,12.257,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
17.8365,11.574,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
18.4984,11.101,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
19.1837,10.69,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
19.893,10.264,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
20.6272,9.899,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
21.3872,9.5341,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
22.1739,9.1565,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
22.9883,8.7656,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
23.8313,8.361,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
24.704,7.9421,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
25.6073,7.6118,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
26.5423,7.3219,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
27.5102,7.0218,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
28.5121,6.7113,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
29.5492,6.3897,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
30.6228,6.1379,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
31.7341,5.9379,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
32.8844,5.7308,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
34.0752,5.5165,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
35.3078,5.2946,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
36.5837,5.0649,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
37.9045,4.8272,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
39.2717,4.5811,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
40.6869,4.3847,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
42.1519,4.2456,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
43.6684,4.1015,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
45.2381,3.9524,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
46.863,3.798,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
48.545,3.6382,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
50.2861,3.48,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
52.0884,3.3538,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
53.9541,3.2232,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
55.8853,3.088,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
57.8844,2.9481,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
59.9537,2.8032,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
62.0957,2.6743,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
64.3131,2.5412,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
66.6083,2.4035,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
68.9842,2.2609,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
71.4436,2.1711,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
73.9894,2.1202,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
76.6247,2.0675,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
79.3526,2.0129,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
82.1764,1.9401,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
85.0994,1.8598,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
88.1251,1.7766,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
91.2571,1.6904,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
94.4993,1.6013,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
97.8553,1.509,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
101.3293,1.4354,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
104.9254,1.3958,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
108.6478,1.3549,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
112.5011,1.3125,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
116.4898,1.2686,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
120.6186,1.2232,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
124.8925,1.1762,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
129.3167,1.1275,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
133.8963,1.0771,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
138.6368,1.025,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
143.544,0.97102,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
148.6236,0.91514,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
153.8817,0.87904,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
159.3245,0.84965,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
164.9587,0.81922,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
170.7908,0.78773,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
176.8279,0.75513,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
183.0772,0.72138,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
189.5461,0.68645,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
196.2423,0.65029,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
203.1738,0.62445,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
210.3489,0.61189,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
217.7762,0.59889,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
225.4644,0.58544,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
233.4229,0.57151,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
241.661,0.55709,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
250.1886,0.54217,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
259.016,0.52672,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
268.1535,0.51073,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
277.6121,0.49418,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
287.4032,0.47704,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
297.5383,0.45931,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
