E_eV,Qm_A2,source,database,process,target
0.54423,0.66151,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
0.61226,0.80383,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
0.68028,0.94069,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
0.74831,1.0719,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
0.81634,1.198,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
0.88437,1.3194,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
0.9524,1.4368,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.02043,1.5509,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.08846,1.6623,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.15648,1.7715,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.22451,1.879,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.29254,1.9852,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.36057,2.0904,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.4286,2.1949,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.49663,2.299,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.56466,2.4029,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.63268,2.5067,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.70071,2.6105,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.76874,2.7146,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.83677,2.8189,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
1.9048,2.9236,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
2.04085,3.1342,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
2.1769,3.2879,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
2.313,3.4719,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
2.449,3.659,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
2.5851,3.85,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
2.7211,4.0446,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
2.8572,4.2434,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
2.9933,4.4459,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
3.1293,4.6525,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
3.2654,4.8623,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
3.4014,5.076,LXCat:BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat):ELASTIC,BSR (Quantum-mechanical calculations by O. Zatsarinny and K. Bartschat),ELASTIC,Ar
