E_eV,Qm_A2,source,database,process,target
0.483,0.4337474,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.5,0.4490559,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.523,0.4828933,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.55,0.5194982,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.6,0.5762873,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.623,0.6072165,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.65,0.6455115,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.7,0.7154593,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.73,0.8067205,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.75,0.8309727,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.8,0.8972728,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.823,0.9303038,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.85,0.9653019,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.9,1.028894,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.91,1.045162,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.923,1.060328,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.95,1.100441,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1,1.154196,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.02,1.193254,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.09,1.286878,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.1,1.300503,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.12,1.336858,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.2,1.436946,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.22,1.482475,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.3,1.586277,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.4,1.724053,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.42,1.757971,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.5,1.868511,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.6,1.994954,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.62,2.020456,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.7,2.105215,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.82,2.250279,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1.9,2.337793,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2,2.450861,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2.02,2.476702,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2.18,2.688963,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2.5,3.091862,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2.52,3.120171,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2.66,3.298287,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2.85,3.579813,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
3,3.782619,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
3.02,3.806389,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
3.23,4.112581,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
3.41,4.365294,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
3.5,4.503731,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
3.52,4.536151,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
4,5.311796,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
4.02,5.338614,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
4.52,6.195601,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
4.59,6.313916,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
4.77,6.634906,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
5,7.025911,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
5.02,7.062864,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
5.28,7.552359,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
5.46,7.9029,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
6,9.04426,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
6.02,9.047915,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
6.55,10.12851,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
7,11.00221,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
