E_eV,Qm_A2,source,database,process,target
2.1,2.9707,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.15,3.0432,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.2,3.1163,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.25,3.1902,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.3,3.2649,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.35,3.3404,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.4,3.4167,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.45,3.4938,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.5,3.5719,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.55,3.6508,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.6,3.7306,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.65,3.8112,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.7,3.8929,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.75,3.9754,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.8,4.0589,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.85,4.1433,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.9,4.2287,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
2.95,4.315,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3,4.4023,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.05,4.4905,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.1,4.5798,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.15,4.67,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.2,4.7611,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.25,4.8532,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.3,4.9463,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.35,5.0403,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.4,5.1353,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.45,5.2313,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.5,5.3281,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.55,5.426,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
3.6,5.5248,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
