T_K,P_atm,mpp_rho_kg_m3,mpp_h_J_kg,mpp_cp_J_kgK,mpp_mu_Pa_s,mpp_kappa_W_mK,mpp_sigma_S_m
13700.0,4.0,0.120612,15104200.0,5179.47,0.000224841,2.01127,7288.7
13900.0,4.0,0.116814,16177900.0,5558.49,0.000214436,2.11128,7557.88
14100.0,4.0,0.113048,17327800.0,5940.26,0.000203626,2.21128,7827.17
14300.0,4.0,0.109325,18553800.0,6319.22,0.000192579,2.31089,8097.49
14500.0,4.0,0.105658,19854800.0,6688.93,0.0001814,2.4083,8364.35
14700.0,4.0,0.102059,21228300.0,7042.06,0.000170239,2.50269,8627.34
14900.0,4.0,0.0985425,22670000.0,7370.68,0.000159232,2.5932,8886.02
15100.0,4.0,0.0951213,24174300.0,7666.42,0.000148415,2.67844,9140.56
15300.0,4.0,0.0918083,25733800.0,7920.92,0.000137914,2.75764,9390.5
15500.0,4.0,0.088615,27339400.0,8126.21,0.000127906,2.83077,9634.88
15700.0,4.0,0.0855519,28980600.0,8275.3,0.000118456,2.89739,9873.39
15900.0,4.0,0.0826276,30645400.0,8362.65,0.000109608,2.9573,10105.7
16100.0,4.0,0.0798489,32321300.0,8384.66,0.000101388,3.01049,10331.7
16300.0,4.0,0.0772203,33994800.0,8340.03,9.38087e-05,3.05719,10551.2
16500.0,4.0,0.0747439,35652900.0,8229.93,8.68664e-05,3.09788,10763.9
16700.0,4.0,0.0724201,37282700.0,8057.99,8.0548e-05,3.1332,10970.0
16900.0,4.0,0.0702466,38872400.0,7830.12,7.48301e-05,3.16395,11169.4
17100.0,4.0,0.0682197,40411500.0,7553.97,6.96844e-05,3.19105,11362.2
17300.0,4.0,0.0663334,41891300.0,7238.64,6.50742e-05,3.21546,11548.5
17500.0,4.0,0.064582,43305000.0,6893.54,6.09939e-05,3.23957,11733.7
17700.0,4.0,0.0629568,44647500.0,6528.57,5.73949e-05,3.26417,11917.3
17900.0,4.0,0.0614499,45915700.0,6152.88,5.4221e-05,3.28899,12095.9
18100.0,4.0,0.0600528,47108400.0,5774.8,5.14345e-05,3.31472,12269.9
18300.0,4.0,0.0587566,48225900.0,5401.56,4.89985e-05,3.34188,12439.3
18500.0,4.0,0.0575527,49269800.0,5039.04,4.68781e-05,3.3709,12604.4
18700.0,4.0,0.0564329,50242600.0,4691.82,4.5041e-05,3.40207,12765.5
18900.0,4.0,0.0553896,51147800.0,4363.19,4.34581e-05,3.43556,12922.7
19100.0,4.0,0.0544155,51989200.0,4055.35,4.21019e-05,3.47147,13076.3
19300.0,4.0,0.0535033,52771400.0,3769.47,4.0945e-05,3.50982,13226.6
19500.0,4.0,0.0526476,53498500.0,3506.01,3.99688e-05,3.55057,13373.6
19700.0,4.0,0.051842,54175200.0,3264.68,3.91495e-05,3.59364,13517.7
19900.0,4.0,0.0510822,54805800.0,3044.88,3.84721e-05,3.6389,13658.9
20100.0,4.0,0.0503631,55394500.0,2845.52,3.79178e-05,3.68635,13797.8
20300.0,4.0,0.049681,55945300.0,2665.44,3.75259e-05,3.74075,13950.4
20500.0,4.0,0.0490322,56461900.0,2503.23,3.72611e-05,3.79991,14109.8
20700.0,4.0,0.0484134,56947700.0,2357.53,3.70851e-05,3.86104,14267.5
20900.0,4.0,0.0478219,57405900.0,2226.93,3.69877e-05,3.92399,14423.5
21100.0,4.0,0.0472551,57839400.0,2110.03,3.69599e-05,3.98863,14578.0
21300.0,4.0,0.0467109,58250800.0,2005.6,3.69949e-05,4.05482,14730.9
21500.0,4.0,0.0461872,58642400.0,1912.32,3.70847e-05,4.12244,14882.5
21700.0,4.0,0.0456824,59016400.0,1829.19,3.72247e-05,4.19139,15032.7
21900.0,4.0,0.0451947,59374600.0,1754.99,3.74081e-05,4.26156,15181.5
22100.0,4.0,0.0447232,59719000.0,1689.03,3.7632e-05,4.33285,15329.1
22300.0,4.0,0.0442661,60050700.0,1630.15,3.78904e-05,4.40519,15475.5
22500.0,4.0,0.0438229,60371500.0,1577.84,3.81812e-05,4.4785,15620.7
22700.0,4.0,0.0433922,60682200.0,1531.21,3.84999e-05,4.55271,15764.7
22900.0,4.0,0.0429733,60984300.0,1489.78,3.88446e-05,4.62775,15907.6
23100.0,4.0,0.0425655,61278500.0,1452.91,3.92123e-05,4.70358,16049.4
23300.0,4.0,0.042168,61565700.0,1420.11,3.96007e-05,4.78014,16190.1
23500.0,4.0,0.0417803,61846800.0,1391.02,4.00081e-05,4.85738,16329.8
23700.0,4.0,0.0414018,62122300.0,1365.12,4.04322e-05,4.93527,16468.4
23900.0,4.0,0.041032,62393300.0,1342.34,4.08724e-05,5.01377,16606.0
24100.0,4.0,0.0406703,62659700.0,1321.99,4.1326e-05,5.09284,16742.6
24300.0,4.0,0.0403164,62921700.0,1303.8,4.17917e-05,5.17244,16878.3
24500.0,4.0,0.0399701,63181300.0,1288.06,4.227e-05,5.25258,17012.9
24700.0,4.0,0.0396308,63437600.0,1274.07,4.27584e-05,5.3332,17146.6
24900.0,4.0,0.0392982,63690700.0,1261.58,4.3256e-05,5.41428,17279.4
25100.0,4.0,0.0389722,63941900.0,1250.75,4.37626e-05,5.49581,17411.3
25300.0,4.0,0.0386524,64191200.0,1241.31,4.42772e-05,5.57777,17542.2
25500.0,4.0,0.0383385,64438300.0,1232.98,4.47988e-05,5.66013,17672.2
25700.0,4.0,0.0380304,64684500.0,1225.97,4.53275e-05,5.74289,17801.3
25900.0,4.0,0.0377278,64928800.0,1219.77,4.58619e-05,5.82602,17929.5
26100.0,4.0,0.0374305,65172400.0,1214.62,4.64022e-05,5.90952,18056.8
26300.0,4.0,0.0371384,65414900.0,1210.25,4.69474e-05,5.99337,18183.3
26500.0,4.0,0.0368513,65656200.0,1206.54,4.74973e-05,6.07755,18308.8
26700.0,4.0,0.0365689,65897600.0,1203.71,4.80516e-05,6.16207,18433.6
26900.0,4.0,0.0362913,66137700.0,1201.29,4.86097e-05,6.24689,18557.4
27100.0,4.0,0.0360181,66378100.0,1199.62,4.91716e-05,6.33203,18680.5
27300.0,4.0,0.0357494,66617800.0,1198.38,4.97367e-05,6.41745,18802.7
27500.0,4.0,0.0354849,66857200.0,1197.57,5.03047e-05,6.50316,18924.0
27700.0,4.0,0.0352245,67097000.0,1197.35,5.08757e-05,6.58916,19044.6
27900.0,4.0,0.0349681,67336000.0,1197.32,5.1449e-05,6.67542,19164.3
28100.0,4.0,0.0347157,67575900.0,1197.87,5.20249e-05,6.76195,19283.2
28300.0,4.0,0.034467,67815500.0,1198.66,5.26028e-05,6.84873,19401.3
28500.0,4.0,0.0342221,68055100.0,1199.72,5.31826e-05,6.93575,19518.7
28700.0,4.0,0.0339808,68295500.0,1201.2,5.37642e-05,7.02303,19635.2
28900.0,4.0,0.033743,68535400.0,1202.75,5.44167e-05,7.11765,19768.3
29100.0,4.0,0.0335086,68776900.0,1204.85,5.51345e-05,7.21908,19916.0
29300.0,4.0,0.0332776,69018300.0,1207.06,5.58564e-05,7.32103,20063.3
29500.0,4.0,0.0330499,69259200.0,1209.28,5.65821e-05,7.42349,20210.0
29700.0,4.0,0.0328253,69501500.0,1211.88,5.73119e-05,7.52647,20356.3
29900.0,4.0,0.0326039,69744600.0,1214.74,5.80455e-05,7.62998,20502.0
30000.0,4.0,0.0324944,69866100.0,1216.16,5.84137e-05,7.68191,20574.7
