T_K,P_atm,mu_Pa_s,kappa_W_mK,kappa_H_W_mK,kappa_e_W_mK,kappa_int_W_mK,kappa_reac_W_mK,sigma_S_m,nu_e_1_s,Astar_e,Bstar_e,Cstar_e,cp_frozen_J_kgK,cp_reac_J_kgK,kappa_reac_grad_mass_W_mK,kappa_reac_grad_mole_W_mK,kappa_reac_cp_W_mK
300.0,4.0,2.4368509012111446e-05,0.019019513603473984,0.019019513603473984,1.9502170698704794e-131,0.0,5.009678787183512e-82,4.564738441123096e-126,258114786115.18997,1.0,1.0,1.0,520.3303874417475,-8.755478120292537e-09,5.009678787183512e-82,5.009678505062246e-82,0.0
500.0,4.0,3.406177545340502e-05,0.026585065227936522,0.026585065227936522,6.439665845660986e-78,0.0,4.0934525991526094e-58,9.043728729026634e-73,132419913947.41779,1.0,1.0,1.0,520.3303874417473,-8.755364433454815e-09,4.0934525991526094e-58,4.0934522149726705e-58,0.0
700.0,4.0,4.239956365907846e-05,0.03309267207913465,0.03309267207913465,8.001003391079222e-55,0.0,8.561632460602138e-45,8.026026943468984e-50,80736239115.80717,1.0,1.0,1.0,520.3303874417475,-8.755478120292537e-09,8.561632460602138e-45,8.561631335875329e-45,0.0
900.0,4.0,4.9929735053240994e-05,0.03896993757767583,0.03896993757767583,6.546505256992133e-42,0.0,2.2546901738455005e-36,5.107650948674513e-37,55316864894.72694,1.0,1.0,1.0,520.3303874417475,-8.755478120292537e-09,2.2546901738455005e-36,2.2546897931206792e-36,0.0
1100.0,4.0,5.690703261320654e-05,0.04441568749168576,0.04441568749168576,1.1923329761310044e-33,0.0,1.4305727718375605e-30,7.611304013417444e-29,41636168111.96272,1.0,1.0,1.0,520.3303874417471,-8.755137059779372e-09,1.4305727718375605e-30,1.4305724766693364e-30,0.0
1300.0,4.0,6.347442238075663e-05,0.04954150618503134,0.04954150618503134,6.535196657117811e-28,0.0,2.5333215997440673e-26,3.529957764181692e-23,33931611159.486244,1.0,1.0,1.0,520.3303874417476,-8.755819180805702e-09,2.5333215997440673e-26,2.5333209821641114e-26,0.0
1500.0,4.0,6.972166902565843e-05,0.05441745458581029,0.05441745458581029,1.0738846801502558e-23,0.0,4.512688686128603e-23,5.027135452777408e-19,29536818462.20276,1.0,1.0,1.0,520.3303874417479,-8.755932867643423e-09,4.512688686128603e-23,4.5126874170460146e-23,0.0
1700.0,4.0,7.570954814605516e-05,0.05909096777981595,0.05909096777981595,1.800856267108653e-20,0.0,1.6822587437463464e-20,7.438482219605569e-16,27085166039.812225,1.0,1.0,1.0,520.3303874417473,-8.755591807130259e-09,1.6822587437463464e-20,1.6822582076779528e-20,0.0
1900.0,4.0,8.148150608999232e-05,0.06359595544971552,0.06359595544971552,6.300239209118912e-18,0.0,2.056696124576111e-18,2.3284002495372187e-13,25822901145.87919,1.0000000000000002,1.0000000000000002,0.9999999999999981,520.3303874417473,-8.755364433454815e-09,2.056696124576111e-18,2.056695392210466e-18,0.0
2100.0,4.0,8.706990230728248e-05,0.06795767400309731,0.06795767400309648,7.184196307112726e-16,0.0,1.1034421535633888e-16,2.4022217511823227e-11,25310796862.80913,1.0000000000000142,1.000000000000019,0.999999999999836,520.330387441747,-8.746837920625694e-09,1.1034421535633888e-16,1.1034417193490951e-16,0.0
2300.0,4.0,9.249962462576415e-05,0.07219554827965056,0.07219554827961161,3.57850223601265e-14,0.0,3.1642204237245885e-15,1.0925156221823802e-09,25281835180.734234,1.000000000000566,1.0000000000007583,0.9999999999934951,520.3303874417469,-8.550614438718185e-09,3.1642204237245885e-15,3.1642190601657102e-15,0.0
2500.0,4.0,9.779031440895281e-05,0.07632490827769912,0.07632490827669262,9.508143114930237e-13,0.0,5.5686143415303946e-14,2.6706064911334012e-08,25568223577.1663,1.0000000000122091,1.0000000000163531,0.9999999998596841,520.3303874417481,-5.370225153455976e-09,5.5686143415303946e-14,5.568611733480545e-14,0.0
2700.0,4.0,0.00010295780423752915,0.08035811127433573,0.08035811125359921,1.5512539074328364e-11,0.0,5.223987956585164e-12,4.034347684412725e-07,26061743712.95402,1.0000000001643286,1.0000000002201042,0.9999999981114224,520.3303874417661,2.9670900403289124e-08,6.645092173716314e-13,6.645088812868898e-13,4.559478739213532e-12
2900.0,4.0,0.0001080150843645084,0.08430529627343536,0.08430529604540758,1.7206214177353827e-10,0.0,5.596564110818304e-11,4.166213561397797e-06,26691173225.51251,1.0000000015245076,1.0000000020419502,0.9999999824792897,520.3303874419573,3.1123909138841555e-07,5.788750490492534e-12,5.788747346167295e-12,5.017689061769051e-11
3100.0,4.0,0.00011297297418380879,0.08817490892599139,0.08817490714125853,1.3990913198625572e-09,4.636518006049638e-15,3.8563690788112435e-10,3.169119282969466e-05,27408924773.82152,1.000000010492554,1.0000000140538954,0.9999998794122178,520.330387443493,2.056190510302258e-06,3.892950872087119e-11,3.892948611869381e-11,3.4670739916025315e-10
3300.0,4.0,0.00011784060191936976,0.09197408001323938,0.09197406907958443,8.828834626743356e-09,3.5274104545089876e-14,2.1047850505806235e-09,0.00018786407667109513,28182894982.58883,1.0000000566315468,1.0000000758532035,0.9999993491505798,520.3303874530474,1.0767182743620651e-05,2.11036848365536e-10,2.1103671794665208e-10,1.8937482022150874e-09
