T_K,pair,category,Q11_m2,Q22_m2,Q11_A2,Q22_A2,Ast,Bst,Cst,source,notes
1900.0,Ar-Ar,neutral-neutral,2.5073410631177994e-19,2.797822371471227e-19,25.073410631177996,27.978223714712268,1.1158523316298354,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
1900.0,Ar-Ar+,ion-neutral,3.170960602456181e-14,2.3782469958189827e-14,3170960.6024561813,2378246.995818983,0.7500083709576292,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
1900.0,e-Ar,electron-neutral,5.123187852261954e-21,5.123187852261954e-21,0.5123187852261955,0.5123187852261955,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
2100.0,Ar-Ar,neutral-neutral,2.4678940732843057e-19,2.7564391468204807e-19,24.678940732843056,27.564391468204807,1.1169195536630856,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
2100.0,Ar-Ar+,ion-neutral,3.016189832469538e-14,2.262164122292028e-14,3016189.8324695383,2262164.1222920283,0.7500072104015604,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
2100.0,e-Ar,electron-neutral,5.279270475340108e-21,5.279270475340108e-21,0.5279270475340109,0.5279270475340109,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
2300.0,Ar-Ar,neutral-neutral,2.432797224437775e-19,2.719378229891845e-19,24.32797224437775,27.19378229891845,1.117798969258648,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
2300.0,Ar-Ar+,ion-neutral,2.88207269563816e-14,2.1615726657394253e-14,2882072.69563816,2161572.6657394255,0.7500062954729881,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
2300.0,e-Ar,electron-neutral,5.5186259784224375e-21,5.5186259784224375e-21,0.5518625978422438,0.5518625978422438,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
2500.0,Ar-Ar,neutral-neutral,2.4011834506066714e-19,2.6858554026044157e-19,24.011834506066716,26.858554026044157,1.11855485341023,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
