T_K,P_atm,pair,category,interaction,lambda_D_m,Tstar,Q11_m2,Q22_m2,Q14_m2,Q15_m2,Q11_A2,Q22_A2,Q14_A2,Q15_A2,Ast,Bst,Cst,source,notes
2900.0,0.1,Ar+__Ar+,charged-charged,repulsion,5.762101617182322e-05,10000.0,4.669075361608066e-16,4.924417865131434e-16,5.620038435391788e-17,3.833266750197628e-17,46690.75361608066,49244.178651314345,5620.038435391788,3833.266750197628,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
3100.0,0.1,Ar+__Ar+,charged-charged,repulsion,5.390353125751205e-05,10000.0,4.086048261303209e-16,4.309506165010964e-16,4.9182646453324593e-17,3.354607010318632e-17,40860.482613032094,43095.061650109645,4918.26464533246,3354.607010318632,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
3300.0,0.1,Ar+__Ar+,charged-charged,repulsion,5.063665057523859e-05,10000.0,3.605778125906689e-16,3.8029710051198687e-16,4.3401766062116563e-17,2.9603097675998214e-17,36057.78125906689,38029.71005119869,4340.176606211657,2960.3097675998215,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
3500.0,0.1,Ar+__Ar+,charged-charged,repulsion,4.7743127685224956e-05,10000.0,3.2054631666223536e-16,3.3807636118983967e-16,3.858328427889382e-17,2.6316549689111874e-17,32054.631666223537,33807.636118983966,3858.328427889382,2631.6549689111876,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
3700.0,0.1,Ar+__Ar+,charged-charged,repulsion,4.516241808061821e-05,10000.0,2.868292461002473e-16,3.025153706775411e-16,3.452485262355365e-17,2.3548410057824738e-17,28682.92461002473,30251.53706775411,3452.485262355365,2354.841005782474,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
3900.0,0.1,Ar+__Ar+,charged-charged,repulsion,4.28463966405865e-05,10000.0,2.5816517942882205e-16,2.722837228517775e-16,3.107463723974026e-17,2.1195117270980967e-17,25816.517942882205,27228.372285177753,3107.463723974026,2119.511727098097,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
4100.0,0.1,Ar+__Ar+,charged-charged,repulsion,4.0756328511777406e-05,10000.0,2.335926459912186e-16,2.4636736612584994e-16,2.811690853161508e-17,1.917773549622966e-17,23359.26459912186,24636.736612584995,2811.6908531615077,1917.7735496229661,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
4300.0,0.1,Ar+__Ar+,charged-charged,repulsion,3.176869277989555e-05,8175.021236516461,2.0759098651428793e-16,2.1921122420966515e-16,2.5083923685488577e-17,1.7116806634869385e-17,20759.098651428794,21921.122420966516,2508.3923685488576,1711.6806634869386,1.0563977155434172,1.0755840399836694,0.3713288933252619,Mason1967 table + Debye-Huckel screening,
4500.0,0.1,Ar+__Ar+,charged-charged,repulsion,2.0119628171739843e-05,5418.181551534776,1.806439570596633e-16,1.9126584586325493e-16,2.2012328723005715e-17,1.5035589960256952e-17,18064.39570596633,19126.584586325494,2201.2328723005717,1503.5589960256953,1.059863241067747,1.0802464222612473,0.373633289163605,Mason1967 table + Debye-Huckel screening,
4700.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.3256357837909457e-05,3728.577425482741,1.5818024312425045e-16,1.6792704351997064e-16,1.9436273926779557e-17,1.3288819577225665e-17,15818.024312425045,16792.704351997065,1943.6273926779556,1328.8819577225665,1.0630120625829294,1.084482723371879,0.3757270931608138,Mason1967 table + Debye-Huckel screening,
4900.0,0.1,Ar+__Ar+,charged-charged,repulsion,9.042663644710967e-06,2651.6337987033794,1.3930771485144756e-16,1.4828320848675224e-16,1.725897860396052e-17,1.1811336944998607e-17,13930.771485144756,14828.320848675225,1725.897860396052,1181.1336944998607,1.0658838372064636,1.088346296447871,0.3776366752558443,Mason1967 table + Debye-Huckel screening,
5100.0,0.1,Ar+__Ar+,charged-charged,repulsion,6.359946676492303e-06,1941.0858317789216,1.233384841029156e-16,1.3163067386694647e-16,1.5405544076545787e-17,1.0552691287501382e-17,12333.848410291559,13163.067386694647,1540.5544076545787,1055.2691287501382,1.0685119320510703,1.091882032295512,0.3793842228587014,Mason1967 table + Debye-Huckel screening,
5300.0,0.1,Ar+__Ar+,charged-charged,repulsion,4.596026691496186e-06,1457.7380868916814,1.0973648339692312e-16,1.1742048122396713e-16,1.3817387103262022e-17,9.473402567971116e-18,10973.648339692312,11742.048122396713,1381.7387103262022,947.3402567971116,1.0709246176823022,1.09512796502619,0.3809885344382319,Mason1967 table + Debye-Huckel screening,
5500.0,0.1,Ar+__Ar+,charged-charged,repulsion,3.402448004627616e-06,1119.8897656063302,9.807985196549451e-17,1.0522015499915447e-16,1.2448235245875257e-17,8.54227209783392e-18,9807.98519654945,10522.015499915447,1244.8235245875258,854.227209783392,1.0731459996503532,1.0981165253027947,0.38246563894276064,Mason1967 table + Debye-Huckel screening,
5700.0,0.1,Ar+__Ar+,charged-charged,repulsion,2.5737740759267852e-06,877.9430939857251,8.802436606645199e-17,9.469327822718887e-17,1.126221644902979e-17,7.733366223536743e-18,8802.436606645198,9469.327822718888,1126.221644902979,773.3366223536743,1.0757917502196945,1.1016751123644166,0.38415005186050005,Mason1967 table + Debye-Huckel screening,
5900.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.985001161491109e-06,700.8641824110199,7.930270848277975e-17,8.556640794905099e-17,1.0228194518362622e-17,7.027957853206632e-18,7930.270848277974,8556.640794905099,1022.8194518362621,702.7957853206632,1.0790234471655928,1.1058752963925729,0.3861416607607048,Mason1967 table + Debye-Huckel screening,
6100.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.5578679614740815e-06,568.6978285512812,7.170472930284176e-17,7.760742178760957e-17,9.32188733820139e-18,6.4103662456573786e-18,7170.472930284176,7760.742178760957,932.188733820139,641.0366245657378,1.0823778772426766,1.1101157392746792,0.38818144052267267,Mason1967 table + Debye-Huckel screening,
6300.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.242095300023892e-06,468.29180416994524,6.505146893963332e-17,7.063192728917924e-17,8.524461339550706e-18,5.866869041766374e-18,6505.146893963332,7063.192728917924,852.4461339550706,586.6869041766374,1.085923204247225,1.1145234431181719,0.39028947279564735,Mason1967 table + Debye-Huckel screening,
6500.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.0046134134878289e-06,390.78098053182333,5.920579246557062e-17,6.448950315630642e-17,7.819695246107509e-18,5.386263719798151e-18,5920.579246557062,6448.950315630642,781.9695246107509,538.6263719798151,1.0893348719858134,1.1187189713546521,0.3923128496520796,Mason1967 table + Debye-Huckel screening,
6700.0,0.1,Ar+__Ar+,charged-charged,repulsion,8.232002515549356e-07,330.06645311084094,5.403489018534837e-17,5.904785083234627e-17,7.193503980711655e-18,4.9593854694370766e-18,5403.489018534837,5904.785083234627,719.3503980711655,495.93854694370765,1.0932081714092239,1.123201280121366,0.39457836440916866,Mason1967 table + Debye-Huckel screening,
6900.0,0.1,Ar+__Ar+,charged-charged,repulsion,6.826272063731645e-07,281.8731917085929,4.945923868803809e-17,5.422104748567286e-17,6.636057279037032e-18,4.578808904633201e-18,4945.923868803809,5422.104748567286,663.6057279037032,457.8808904633201,1.0968287642573005,1.1273911485744863,0.3966960696599305,Mason1967 table + Debye-Huckel screening,
7100.0,0.1,Ar+__Ar+,charged-charged,repulsion,5.722684803678413e-07,243.15279392670612,4.5395831602979436e-17,4.992430978404106e-17,6.1380868879432235e-18,4.238231976335976e-18,4539.583160297943,4992.430978404106,613.8086887943224,423.82319763359766,1.1002183756154797,1.1313137176933854,0.39867867252980893,Mason1967 table + Debye-Huckel screening,
7300.0,0.1,Ar+__Ar+,charged-charged,repulsion,4.845858878649216e-07,211.69700394140517,4.1775179412594445e-17,4.608655673208746e-17,5.6916259026035975e-18,3.932691502085103e-18,4177.517941259444,4608.655673208746,569.1625902603597,393.26915020851027,1.1033961864590147,1.1349911843299292,0.4005373920798011,Mason1967 table + Debye-Huckel screening,
7500.0,0.1,Ar+__Ar+,charged-charged,repulsion,4.141491693324387e-07,185.88277491233808,3.853487084226376e-17,4.2635056665714854e-17,5.289715337751101e-18,3.6574748280643135e-18,3853.4870842263763,4263.505666571486,528.9715337751101,365.7474828064314,1.1066854099626169,1.1387705486274609,0.4025144794984093,Mason1967 table + Debye-Huckel screening,
7700.0,0.1,Ar+__Ar+,charged-charged,repulsion,3.5699075900318915e-07,164.50109322227485,3.562734866392402e-17,3.952512910903962e-17,4.926939998206654e-18,3.4089078918659642e-18,3562.7348663924017,3952.512910903962,492.6939998206654,340.8907891865964,1.1099997731722722,1.1425609108087156,0.404541882525592,Mason1967 table + Debye-Huckel screening,
7900.0,0.1,Ar+__Ar+,charged-charged,repulsion,3.1017349426901856e-07,146.64013880284963,3.301374734767308e-17,3.6723662041244746e-17,4.598825561693768e-18,3.183951868554559e-18,3301.3747347673084,3672.3662041244747,459.8825561693768,318.3951868554559,1.1131171349362916,1.146125978783525,0.4064487793493273,Mason1967 table + Debye-Huckel screening,
8100.0,0.1,Ar+__Ar+,charged-charged,repulsion,2.714963484488495e-07,131.6043064540061,3.065818585288024e-17,3.4193416873355196e-17,4.301282547522057e-18,2.979831314457645e-18,3065.818585288024,3419.3416873355195,430.1282547522057,297.9831314457645,1.1160513140628268,1.1494815559761051,0.40824362296396316,Mason1967 table + Debye-Huckel screening,
8300.0,0.1,Ar+__Ar+,charged-charged,repulsion,2.392911290512726e-07,118.8572780700334,2.852996983651112e-17,3.190249558134524e-17,4.030798223781011e-18,2.794161131327245e-18,2852.9969836511123,3190.249558134524,403.07982237810114,279.4161131327245,1.1188144713464376,1.152641549678107,0.4099338521534061,Mason1967 table + Debye-Huckel screening,
8500.0,0.1,Ar+__Ar+,charged-charged,repulsion,2.1228006662491705e-07,107.98146867534525,2.6602746914222317e-17,2.9823475523074154e-17,3.784344242623886e-18,2.6248841743852615e-18,2660.2746914222316,2982.3475523074153,378.4344242623886,262.48841743852614,1.1214172656055137,1.1556181494956674,0.411525986939543,Mason1967 table + Debye-Huckel screening,
8700.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.8947475931114423e-07,98.64877707786646,2.485402203795745e-17,2.7931871766853765e-17,3.559229939392464e-18,2.4702434241623743e-18,2485.4022037957448,2793.1871766853765,355.9229939392464,247.02434241623743,1.1239023809364082,1.158481637787519,0.41305606059589617,Mason1967 table + Debye-Huckel screening,
8900.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.7010359046929516e-07,90.5992445451692,2.3264988762828283e-17,2.6203950192853214e-17,3.352902674571175e-18,2.328784978620616e-18,2326.4988762828284,2620.3950192853213,335.2902674571175,232.8784978620616,1.1264200057582832,1.1614951584076418,0.41465818548254385,Mason1967 table + Debye-Huckel screening,
9100.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.535590019194524e-07,83.6253141233001,2.1817441211460867e-17,2.462673588294902e-17,3.1637932323658383e-18,2.1990268235892848e-18,2181.744121146087,2462.673588294902,316.37932323658384,219.90268235892847,1.128789141483424,1.1643309420786436,0.4161658173076333,Mason1967 table + Debye-Huckel screening,
9300.0,0.1,Ar+__Ar+,charged-charged,repulsion,1.393587807373104e-07,77.56010273513716,2.0497568225906598e-17,2.318435946305155e-17,2.990162452210444e-18,2.079652245805325e-18,2049.75682259066,2318.435946305155,299.0162452210444,207.9652245805325,1.1311012906221738,1.1670950888071103,0.4176459939497894,Mason1967 table + Debye-Huckel screening,
