g,Prefix,Level (eV),Suffix,Reference
4,"=""""","=""0.00000""","=""""","=""L15349"""
4,"=""""","=""2.61490""","=""""","=""L15349"""
6,"=""""","=""2.63092""","=""""","=""L15349"""
2,"=""""","=""4.321420""","=""""","=""L15349"""
4,"=""""","=""4.343464""","=""""","=""L15349"""
6,"=""""","=""14.57600""","=""""","=""L15349"""
4,"=""""","=""14.69407""","=""""","=""L15349"""
2,"=""""","=""14.75946""","=""""","=""L15349"""
4,"=""""","=""18.09192""","=""""","=""L15349"""
6,"=""""","=""18.10162""","=""""","=""L15349"""
4,"=""""","=""20.62556""","=""""","=""L15349"""
2,"=""""","=""20.76048""","=""""","=""L15349"""
2,"=""""","=""22.04842""","=""""","=""L15349"""
4,"=""""","=""22.40177""","=""""","=""L15349"""
6,"=""""","=""22.44508""","=""""","=""L15349"""
8,"=""""","=""22.50726""","=""""","=""L15349"""
10,"=""""","=""22.58938""","=""""","=""L15349"""
2,"=""""","=""23.22105""","=""""","=""L15349"""
4,"=""""","=""23.23433""","=""""","=""L15349"""
6,"=""""","=""23.28687""","=""""","=""L15349"""
8,"=""""","=""23.41125""","=""""","=""L15349"""
8,"=""""","=""25.75904""","=""""","=""L15349"""
10,"=""""","=""25.77127""","=""""","=""L15349"""
6,"=""""","=""27.374074""","=""""","=""L15349"""
4,"=""""","=""27.43781""","=""""","=""L15349"""
2,"=""""","=""27.47830""","=""""","=""L15349"""
4,"=""""","=""27.64303""","=""""","=""L15349"""
2,"=""""","=""27.77485""","=""""","=""L15349"""
4,"=""""","=""27.86599""","=""""","=""L15349"""
6,"=""""","=""28.03813""","=""""","=""L15349"""
6,"=""""","=""29.5918""","=""""","=""L15349"""
4,"=""""","=""29.6384""","=""""","=""L15349"""
6,"=""""","=""30.57797""","=""""","=""L15349"""
8,"=""""","=""30.59156""","=""""","=""L15349"""
2,"=""""","=""31.022731""","=""""","=""L15349"""
4,"=""""","=""31.107903""","=""""","=""L15349"""
6,"=""""","=""31.239970""","=""""","=""L15349"""
2,"=""""","=""31.75084""","=""""","=""L15349"""
4,"=""""","=""31.906537""","=""""","=""L15349"""
6,"=""""","=""33.19569""","=""""","=""L15349"""
4,"=""""","=""33.19826""","=""""","=""L15349"""
2,"=""""","=""35.454050""","=""""","=""L15349"""
4,"=""""","=""35.487315""","=""""","=""L15349"""
6,"=""""","=""35.552196""","=""""","=""L15349"""
8,"=""""","=""35.65176""","=""""","=""L15349"""
2,"=""""","=""35.84660""","=""""","=""L15349"""
4,"=""""","=""35.860433""","=""""","=""L15349"""
6,"=""""","=""35.934402""","=""""","=""L15349"""
4,"=""""","=""35.98660""","=""""","=""L15349"""
6,"=""""","=""36.16162""","=""""","=""L15349"""
4,"=""""","=""36.171646""","=""""","=""L15349"""
2,"=""""","=""36.65843""","=""""","=""L15349"""
4,"=""""","=""36.67480""","=""""","=""L15349"""
6,"=""""","=""37.64971""","=""""","=""L15349"""
8,"=""""","=""37.68984""","=""""","=""L15349"""
6,"=""""","=""37.917765""","=""""","=""L15349"""
4,"=""""","=""37.926717""","=""""","=""L15349"""
,"=""[""","=""59.58""","=""]""","=""L11770"""
