g,Prefix,Level (eV),Suffix,Reference
3,"=""""","=""25.3634416""","=""""","=""L15349"""
5,"=""""","=""25.37408393""","=""""","=""L15349"""
7,"=""""","=""25.39237770""","=""""","=""L15349"""
3,"=""""","=""25.383085""","=""""","=""L15349"""
5,"=""""","=""25.6936178""","=""""","=""L15349"""
3,"=""""","=""25.730730""","=""""","=""L15349"""
1,"=""""","=""25.7483182""","=""""","=""L15349"""
3,"=""""","=""25.92833862""","=""""","=""L15349"""
5,"=""""","=""25.93140430""","=""""","=""L15349"""
1,"=""""","=""25.93323021""","=""""","=""L15349"""
7,"=""""","=""26.063056""","=""""","=""L15349"""
5,"=""""","=""26.161355""","=""""","=""L15349"""
3,"=""""","=""26.230721""","=""""","=""L15349"""
3,"=""""","=""26.1685711""","=""""","=""L15349"""
5,"=""""","=""26.52663924""","=""""","=""L15349"""
3,"=""""","=""26.5757152""","=""""","=""L15349"""
1,"=""""","=""26.603227""","=""""","=""L15349"""
5,"=""""","=""27.194389""","=""""","=""L15349"""
3,"=""""","=""27.2651759""","=""""","=""L15349"""
3,"=""""","=""27.7306976""","=""""","=""L15349"""
7,"=""""","=""27.813882""","=""""","=""L15349"""
5,"=""""","=""27.91494398""","=""""","=""L15349"""
3,"=""""","=""27.91585952""","=""""","=""L15349"""
7,"=""""","=""27.94654815""","=""""","=""L15349"""
5,"=""""","=""28.06469227""","=""""","=""L15349"""
7,"=""""","=""28.08293673""","=""""","=""L15349"""
9,"=""""","=""28.10060677""","=""""","=""L15349"""
7,"=""""","=""28.17468645""","=""""","=""L15349"""
5,"=""""","=""28.68277299""","=""""","=""L15349"""
3,"=""""","=""28.71813306""","=""""","=""L15349"""
1,"=""""","=""28.7339376""","=""""","=""L15349"""
5,"=""""","=""29.26828372""","=""""","=""L15349"""
3,"=""""","=""29.4155""","=""""","=""L15349"""
3,"=""""","=""29.6562805""","=""""","=""L15349"""
3,"=""""","=""29.7750520""","=""""","=""L15349"""
5,"=""""","=""29.7882517""","=""""","=""L15349"""
7,"=""""","=""29.79245706""","=""""","=""L15349"""
3,"=""""","=""29.9802663""","=""""","=""L15349"""
1,"=""""","=""30.118809""","=""""","=""L15349"""
3,"=""""","=""30.1463937""","=""""","=""L15349"""
5,"=""""","=""30.18095237""","=""""","=""L15349"""
5,"=""""","=""30.29654080""","=""""","=""L15349"""
3,"=""""","=""30.5043139""","=""""","=""L15349"""
5,"=""""","=""30.5046106""","=""""","=""L15349"""
7,"=""""","=""30.5050614""","=""""","=""L15349"""
9,"=""""","=""30.5057687""","=""""","=""L15349"""
1,"=""""","=""30.9733929""","=""""","=""L15349"""
5,"=""""","=""31.0852655""","=""""","=""L15349"""
5,"=""""","=""31.2756084""","=""""","=""L15349"""
3,"=""""","=""31.2780110""","=""""","=""L15349"""
7,"=""""","=""31.2799593""","=""""","=""L15349"""
3,"=""""","=""31.3154643""","=""""","=""L15349"""
1,"=""""","=""31.6293393""","=""""","=""L15349"""
5,"=""""","=""33.0695514""","=""""","=""L15349"""
7,"=""""","=""33.0887483""","=""""","=""L15349"""
9,"=""""","=""33.1127178""","=""""","=""L15349"""
7,"=""""","=""33.2008362""","=""""","=""L15349"""
9,"=""""","=""33.20714657""","=""""","=""L15349"""
11,"=""""","=""33.21491819""","=""""","=""L15349"""
3,"=""""","=""33.3492268""","=""""","=""L15349"""
7,"=""""","=""33.3520142""","=""""","=""L15349"""
5,"=""""","=""33.3534756""","=""""","=""L15349"""
3,"=""""","=""33.56955""","=""""","=""L15349"""
5,"=""""","=""33.6628401""","=""""","=""L15349"""
3,"=""""","=""33.6831238""","=""""","=""L15349"""
1,"=""""","=""33.6862370""","=""""","=""L15349"""
3,"=""""","=""33.73228""","=""""","=""L15349"""
5,"=""""","=""33.73529""","=""""","=""L15349"""
3,"=""""","=""33.7397789""","=""""","=""L15349"""
5,"=""""","=""33.7472746""","=""""","=""L15349"""
7,"=""""","=""33.7550177""","=""""","=""L15349"""
7,"=""""","=""34.14179""","=""""","=""L15349"""
5,"=""""","=""34.8969705""","=""""","=""L15349"""
7,"=""""","=""34.8984141""","=""""","=""L15349"""
1,"=""""","=""34.957291""","=""""","=""L15349"""
3,"=""""","=""34.9637891""","=""""","=""L15349"""
5,"=""""","=""34.9760407""","=""""","=""L15349"""
7,"=""""","=""35.2017353""","=""""","=""L15349"""
5,"=""""","=""35.2236126""","=""""","=""L15349"""
3,"=""""","=""35.22634""","=""""","=""L15349"""
1,"=""""","=""35.43878""","=""""","=""L15349"""
3,"=""""","=""35.4449662""","=""""","=""L15349"""
5,"=""""","=""35.4607030""","=""""","=""L15349"""
,"=""[""","=""40.735""","=""]""","=""L8114"""
