g,Prefix,Level (eV),Suffix,Reference
5,"=""""","=""0.0000000""","=""""","=""L15349"""
3,"=""""","=""0.1378915""","=""""","=""L15349"""
1,"=""""","=""0.1946837""","=""""","=""L15349"""
5,"=""""","=""1.737019""","=""""","=""L15349"""
1,"=""""","=""4.12442""","=""""","=""L15349"""
5,"=""""","=""14.109466""","=""""","=""L15349"""
3,"=""""","=""14.233061""","=""""","=""L15349"""
1,"=""""","=""14.298850""","=""""","=""L15349"""
3,"=""""","=""17.856499""","=""""","=""L15349"""
3,"=""""","=""17.963508""","=""""","=""L15349"""
5,"=""""","=""17.9641548""","=""""","=""L15349"""
7,"=""""","=""17.965003""","=""""","=""L15349"""
9,"=""""","=""17.966708""","=""""","=""L15349"""
7,"=""""","=""19.4550447""","=""""","=""L15349"""
5,"=""""","=""19.4559174""","=""""","=""L15349"""
3,"=""""","=""19.4692154""","=""""","=""L15349"""
1,"=""""","=""20.066834""","=""""","=""L15349"""
5,"=""""","=""20.179331""","=""""","=""L15349"""
7,"=""""","=""20.218868""","=""""","=""L15349"""
9,"=""""","=""20.268566""","=""""","=""L15349"""
7,"=""""","=""21.337694""","=""""","=""L15349"""
9,"=""""","=""21.3422147""","=""""","=""L15349"""
11,"=""""","=""21.3490235""","=""""","=""L15349"""
5,"=""""","=""21.62017815""","=""""","=""L15349"""
9,"=""""","=""21.7797569""","=""""","=""L15349"""
5,"=""""","=""22.2588235""","=""""","=""L15349"""
3,"=""""","=""22.40125602""","=""""","=""L15349"""
9,"=""""","=""23.1110123""","=""""","=""L15349"""
7,"=""""","=""23.1426661""","=""""","=""L15349"""
5,"=""""","=""23.1731458""","=""""","=""L15349"""
3,"=""""","=""23.2063731""","=""""","=""L15349"""
5,"=""""","=""23.2872005""","=""""","=""L15349"""
7,"=""""","=""23.3976625""","=""""","=""L15349"""
1,"=""""","=""23.32702""","=""""","=""L15349"""
3,"=""""","=""23.3732349""","=""""","=""L15349"""
5,"=""""","=""23.4802304""","=""""","=""L15349"""
3,"=""""","=""24.37413232""","=""""","=""L15349"""
5,"=""""","=""24.37717952""","=""""","=""L15349"""
7,"=""""","=""24.38531705""","=""""","=""L15349"""
5,"=""""","=""24.76750685""","=""""","=""L15349"""
7,"=""""","=""24.8362584""","=""""","=""L15349"""
