g,Prefix,Level (eV),Suffix,Reference
10,"=""""","=""24.19283498""","=""""","=""L15349"""
2,"=""""","=""24.21181411""","=""""","=""L15349"""
4,"=""""","=""24.21382629""","=""""","=""L15349"""
6,"=""""","=""24.284131501""","=""""","=""L15349"""
4,"=""""","=""24.28439443""","=""""","=""L15349"""
4,"=""""","=""24.31038415""","=""""","=""L15349"""
6,"=""""","=""24.31205385""","=""""","=""L15349"""
10,"=""""","=""24.313723219""","=""""","=""L15349"""
8,"=""""","=""24.31566967""","=""""","=""L15349"""
8,"=""""","=""24.33873405""","=""""","=""L15349"""
6,"=""""","=""24.34003126""","=""""","=""L15349"""
8,"=""""","=""24.37801682""","=""""","=""L15349"""
6,"=""""","=""24.37939735""","=""""","=""L15349"""
8,"=""""","=""24.62264169""","=""""","=""L15349"""
10,"=""""","=""24.62377605""","=""""","=""L15349"""
6,"=""""","=""24.649622089""","=""""","=""L15349"""
4,"=""""","=""24.690028614""","=""""","=""L15349"""
2,"=""""","=""24.810530468""","=""""","=""L15349"""
2,"=""""","=""24.72823017""","=""""","=""L15349"""
4,"=""""","=""24.73797775""","=""""","=""L15349"""
6,"=""""","=""24.75714540""","=""""","=""L15349"""
4,"=""""","=""24.79461100""","=""""","=""L15349"""
8,"=""""","=""24.781885060""","=""""","=""L15349"""
6,"=""""","=""24.791840619""","=""""","=""L15349"""
4,"=""""","=""24.81564826""","=""""","=""L15349"""
2,"=""""","=""24.84723130""","=""""","=""L15349"""
4,"=""""","=""24.800842727""","=""""","=""L15349"""
2,"=""""","=""24.87417696""","=""""","=""L15349"""
8,"=""""","=""24.814064898""","=""""","=""L15349"""
6,"=""""","=""24.82597075""","=""""","=""L15349"""
10,"=""""","=""24.845578706""","=""""","=""L15349"""
8,"=""""","=""24.90601840""","=""""","=""L15349"""
6,"=""""","=""24.96441882""","=""""","=""L15349"""
4,"=""""","=""25.01018340""","=""""","=""L15349"""
2,"=""""","=""24.92458926""","=""""","=""L15349"""
4,"=""""","=""24.96363470""","=""""","=""L15349"""
6,"=""""","=""25.017761960""","=""""","=""L15349"""
8,"=""""","=""24.996318074""","=""""","=""L15349"""
6,"=""""","=""25.064142489""","=""""","=""L15349"""
6,"=""""","=""25.063301207""","=""""","=""L15349"""
4,"=""""","=""25.076257320""","=""""","=""L15349"""
2,"=""""","=""25.09695279""","=""""","=""L15349"""
8,"=""""","=""25.098108804""","=""""","=""L15349"""
4,"=""""","=""25.102730005""","=""""","=""L15349"""
6,"=""""","=""25.11230570""","=""""","=""L15349"""
4,"=""""","=""25.169760115""","=""""","=""L15349"""
2,"=""""","=""25.24248286""","=""""","=""L15349"""
6,"=""""","=""25.18754647""","=""""","=""L15349"""
8,"=""""","=""25.193287976""","=""""","=""L15349"""
4,"=""""","=""25.211570947""","=""""","=""L15349"""
6,"=""""","=""25.231017595""","=""""","=""L15349"""
4,"=""""","=""25.259414577""","=""""","=""L15349"""
2,"=""""","=""25.26633095""","=""""","=""L15349"""
4,"=""""","=""25.282631498""","=""""","=""L15349"""
4,"=""""","=""25.30688090""","=""""","=""L15349"""
6,"=""""","=""25.30939846""","=""""","=""L15349"""
4,"=""""","=""25.34451490""","=""""","=""L15349"""
6,"=""""","=""25.3653896""","=""""","=""L15349"""
2,"=""""","=""25.35663454""","=""""","=""L15349"""
4,"=""""","=""25.44422467""","=""""","=""L15349"""
2,"=""""","=""25.40801331""","=""""","=""L15349"""
10,"=""""","=""25.40905473""","=""""","=""L15349"""
8,"=""""","=""25.41070124""","=""""","=""L15349"""
6,"=""""","=""25.41398919""","=""""","=""L15349"""
8,"=""""","=""25.41628630""","=""""","=""L15349"""
4,"=""""","=""25.42374234""","=""""","=""L15349"""
6,"=""""","=""25.42657193""","=""""","=""L15349"""
12,"=""""","=""25.42923159""","=""""","=""L15349"""
10,"=""""","=""25.42970831""","=""""","=""L15349"""
2,"=""""","=""25.43912897""","=""""","=""L15349"""
4,"=""""","=""25.44082574""","=""""","=""L15349"""
12,"=""""","=""25.44304392""","=""""","=""L15349"""
10,"=""""","=""25.44305904""","=""""","=""L15349"""
8,"=""""","=""25.44339237""","=""""","=""L15349"""
10,"=""""","=""25.44339266""","=""""","=""L15349"""
2,"=""""","=""25.44689500""","=""""","=""L15349"""
6,"=""""","=""25.44775895""","=""""","=""L15349"""
8,"=""""","=""25.44777276""","=""""","=""L15349"""
12,"=""""","=""25.45069417""","=""""","=""L15349"""
14,"=""""","=""25.45069590""","=""""","=""L15349"""
4,"=""""","=""25.45407080""","=""""","=""L15349"""
6,"=""""","=""25.45408951""","=""""","=""L15349"""
4,"=""""","=""25.55357413""","=""""","=""L15349"""
6,"=""""","=""25.55566971""","=""""","=""L15349"""
10,"=""""","=""25.55720904""","=""""","=""L15349"""
8,"=""""","=""25.55922152""","=""""","=""L15349"""
8,"=""""","=""25.57120023""","=""""","=""L15349"""
6,"=""""","=""25.57239413""","=""""","=""L15349"""
6,"=""""","=""25.58252217""","=""""","=""L15349"""
8,"=""""","=""25.58253774""","=""""","=""L15349"""
12,"=""""","=""25.58388229""","=""""","=""L15349"""
10,"=""""","=""25.58388835""","=""""","=""L15349"""
10,"=""""","=""25.59001247""","=""""","=""L15349"""
8,"=""""","=""25.59001388""","=""""","=""L15349"""
8,"=""""","=""25.61810033""","=""""","=""L15349"""
6,"=""""","=""25.61906799""","=""""","=""L15349"""
8,"=""""","=""25.6423384""","=""""","=""L15349"""
10,"=""""","=""25.64233884""","=""""","=""L15349"""
6,"=""""","=""25.67654286""","=""""","=""L15349"""
4,"=""""","=""25.69912067""","=""""","=""L15349"""
2,"=""""","=""25.82951773""","=""""","=""L15349"""
8,"=""""","=""25.75083567""","=""""","=""L15349"""
6,"=""""","=""25.75728027""","=""""","=""L15349"""
4,"=""""","=""25.79018407""","=""""","=""L15349"""
10,"=""""","=""25.78089157""","=""""","=""L15349"""
8,"=""""","=""25.80645208""","=""""","=""L15349"""
6,"=""""","=""25.87220304""","=""""","=""L15349"""
4,"=""""","=""25.94596914""","=""""","=""L15349"""
4,"=""""","=""25.81968425""","=""""","=""L15349"""
2,"=""""","=""25.88366492""","=""""","=""L15349"""
2,"=""""","=""25.84843727""","=""""","=""L15349"""
4,"=""""","=""25.87489852""","=""""","=""L15349"""
6,"=""""","=""25.93733151""","=""""","=""L15349"""
2,"=""""","=""25.86208761""","=""""","=""L15349"""
4,"=""""","=""25.86213691""","=""""","=""L15349"""
12,"=""""","=""25.88831364""","=""""","=""L15349"""
10,"=""""","=""25.88831410""","=""""","=""L15349"""
6,"=""""","=""25.9020761""","=""""","=""L15349"""
6,"=""""","=""25.90293551""","=""""","=""L15349"""
4,"=""""","=""25.90321077""","=""""","=""L15349"""
8,"=""""","=""25.91464514""","=""""","=""L15349"""
6,"=""""","=""25.95946554""","=""""","=""L15349"""
8,"=""""","=""25.94352386""","=""""","=""L15349"""
6,"=""""","=""25.94387988""","=""""","=""L15349"""
8,"=""""","=""25.95459873""","=""""","=""L15349"""
10,"=""""","=""25.95464012""","=""""","=""L15349"""
6,"=""""","=""25.962013""","=""""","=""L15349"""
4,"=""""","=""25.962023""","=""""","=""L15349"""
4,"=""""","=""25.96396722""","=""""","=""L15349"""
6,"=""""","=""26.05226965""","=""""","=""L15349"""
4,"=""""","=""25.98677781""","=""""","=""L15349"""
10,"=""""","=""26.0910933""","=""""","=""L15349"""
8,"=""""","=""26.09211674""","=""""","=""L15349"""
6,"=""""","=""26.0942982""","=""""","=""L15349"""
8,"=""""","=""26.0959240""","=""""","=""L15349"""
4,"=""""","=""26.1002893""","=""""","=""L15349"""
6,"=""""","=""26.1020361""","=""""","=""L15349"""
12,"=""""","=""26.102613""","=""""","=""L15349"""
10,"=""""","=""26.1030057""","=""""","=""L15349"""
4,"=""""","=""26.109201""","=""""","=""L15349"""
12,"=""""","=""26.11201792""","=""""","=""L15349"""
10,"=""""","=""26.11203395""","=""""","=""L15349"""
10,"=""""","=""26.1122349""","=""""","=""L15349"""
8,"=""""","=""26.11224084""","=""""","=""L15349"""
6,"=""""","=""26.11480622""","=""""","=""L15349"""
8,"=""""","=""26.1148142""","=""""","=""L15349"""
10,"=""""","=""26.11562721""","=""""","=""L15349"""
12,"=""""","=""26.11562754""","=""""","=""L15349"""
12,"=""""","=""26.1156858""","=""""","=""L15349"""
14,"=""""","=""26.11568686""","=""""","=""L15349"""
14,"=""""","=""26.11633493""","=""""","=""L15349"""
12,"=""""","=""26.11636970""","=""""","=""L15349"""
8,"=""""","=""26.11689532""","=""""","=""L15349"""
10,"=""""","=""26.11689637""","=""""","=""L15349"""
14,"=""""","=""26.11799316""","=""""","=""L15349"""
16,"=""""","=""26.11799488""","=""""","=""L15349"""
4,"=""""","=""26.1183379""","=""""","=""L15349"""
6,"=""""","=""26.11835425""","=""""","=""L15349"""
6,"=""""","=""26.11883422""","=""""","=""L15349"""
8,"=""""","=""26.11883580""","=""""","=""L15349"""
4,"=""""","=""26.23162100""","=""""","=""L15349"""
6,"=""""","=""26.23333896""","=""""","=""L15349"""
10,"=""""","=""26.23425812""","=""""","=""L15349"""
8,"=""""","=""26.23586749""","=""""","=""L15349"""
8,"=""""","=""26.242751""","=""""","=""L15349"""
6,"=""""","=""26.2436324""","=""""","=""L15349"""
6,"=""""","=""26.25063624""","=""""","=""L15349"""
8,"=""""","=""26.25064940""","=""""","=""L15349"""
12,"=""""","=""26.25146700""","=""""","=""L15349"""
10,"=""""","=""26.25147586""","=""""","=""L15349"""
8,"=""""","=""26.25389755""","=""""","=""L15349"""
10,"=""""","=""26.25389891""","=""""","=""L15349"""
12,"=""""","=""26.25427186""","=""""","=""L15349"""
14,"=""""","=""26.25427383""","=""""","=""L15349"""
10,"=""""","=""26.25507599""","=""""","=""L15349"""
8,"=""""","=""26.25507612""","=""""","=""L15349"""
12,"=""""","=""26.25625228""","=""""","=""L15349"""
10,"=""""","=""26.25625371""","=""""","=""L15349"""
8,"=""""","=""26.29349829""","=""""","=""L15349"""
6,"=""""","=""26.29420710""","=""""","=""L15349"""
8,"=""""","=""26.29574504""","=""""","=""L15349"""
10,"=""""","=""26.30919076""","=""""","=""L15349"""
8,"=""""","=""26.30921053""","=""""","=""L15349"""
12,"=""""","=""26.31161594""","=""""","=""L15349"""
10,"=""""","=""26.31161729""","=""""","=""L15349"""
10,"=""""","=""26.3124708""","=""""","=""L15349"""
8,"=""""","=""26.3270998""","=""""","=""L15349"""
4,"=""""","=""26.40024800""","=""""","=""L15349"""
6,"=""""","=""26.40040716""","=""""","=""L15349"""
8,"=""""","=""26.44578799""","=""""","=""L15349"""
10,"=""""","=""26.501521""","=""""","=""L15349"""
8,"=""""","=""26.502211""","=""""","=""L15349"""
12,"=""""","=""26.508766""","=""""","=""L15349"""
10,"=""""","=""26.508998""","=""""","=""L15349"""
12,"=""""","=""26.5151818""","=""""","=""L15349"""
10,"=""""","=""26.5151883""","=""""","=""L15349"""
10,"=""""","=""26.5153217""","=""""","=""L15349"""
8,"=""""","=""26.5153368""","=""""","=""L15349"""
8,"=""""","=""26.5169564""","=""""","=""L15349"""
6,"=""""","=""26.5169717""","=""""","=""L15349"""
12,"=""""","=""26.5175109""","=""""","=""L15349"""
10,"=""""","=""26.51751682""","=""""","=""L15349"""
12,"=""""","=""26.5175467""","=""""","=""L15349"""
14,"=""""","=""26.5175481""","=""""","=""L15349"""
14,"=""""","=""26.5178909""","=""""","=""L15349"""
12,"=""""","=""26.5178912""","=""""","=""L15349"""
12,"=""""","=""26.5182801""","=""""","=""L15349"""
14,"=""""","=""26.5182804""","=""""","=""L15349"""
8,"=""""","=""26.5183117""","=""""","=""L15349"""
10,"=""""","=""26.5183133""","=""""","=""L15349"""
14,"=""""","=""26.5183401""","=""""","=""L15349"""
16,"=""""","=""26.51834082""","=""""","=""L15349"""
10,"=""""","=""26.51872797""","=""""","=""L15349"""
12,"=""""","=""26.51872896""","=""""","=""L15349"""
14,"=""""","=""26.5189885""","=""""","=""L15349"""
16,"=""""","=""26.5189885""","=""""","=""L15349"""
4,"=""""","=""26.519141""","=""""","=""L15349"""
6,"=""""","=""26.5191667""","=""""","=""L15349"""
16,"=""""","=""26.51920453""","=""""","=""L15349"""
18,"=""""","=""26.51920626""","=""""","=""L15349"""
8,"=""""","=""26.5194637""","=""""","=""L15349"""
10,"=""""","=""26.5194655""","=""""","=""L15349"""
6,"=""""","=""26.5195298""","=""""","=""L15349"""
8,"=""""","=""26.5195298""","=""""","=""L15349"""
8,"=""""","=""26.55553718""","=""""","=""L15349"""
10,"=""""","=""26.55611128""","=""""","=""L15349"""
6,"=""""","=""26.6153804""","=""""","=""L15349"""
8,"=""""","=""26.633348""","=""""","=""L15349"""
8,"=""""","=""26.63580586""","=""""","=""L15349"""
6,"=""""","=""26.64561340""","=""""","=""L15349"""
10,"=""""","=""26.642424""","=""""","=""L15349"""
8,"=""""","=""26.643649""","=""""","=""L15349"""
10,"=""""","=""26.643572""","=""""","=""L15349"""
6,"=""""","=""26.6534543""","=""""","=""L15349"""
8,"=""""","=""26.6534598""","=""""","=""L15349"""
12,"=""""","=""26.6539917""","=""""","=""L15349"""
10,"=""""","=""26.6540015""","=""""","=""L15349"""
8,"=""""","=""26.6556191""","=""""","=""L15349"""
10,"=""""","=""26.6556191""","=""""","=""L15349"""
12,"=""""","=""26.6558589""","=""""","=""L15349"""
14,"=""""","=""26.6558601""","=""""","=""L15349"""
8,"=""""","=""26.656228""","=""""","=""L15349"""
10,"=""""","=""26.6563036""","=""""","=""L15349"""
10,"=""""","=""26.65633161""","=""""","=""L15349"""
12,"=""""","=""26.65633296""","=""""","=""L15349"""
14,"=""""","=""26.65645372""","=""""","=""L15349"""
16,"=""""","=""26.65645569""","=""""","=""L15349"""
12,"=""""","=""26.6571108""","=""""","=""L15349"""
10,"=""""","=""26.6571109""","=""""","=""L15349"""
14,"=""""","=""26.65721730""","=""""","=""L15349"""
12,"=""""","=""26.65721872""","=""""","=""L15349"""
2,"=""""","=""26.66475730""","=""""","=""L15349"""
8,"=""""","=""26.7113733""","=""""","=""L15349"""
10,"=""""","=""26.7114156""","=""""","=""L15349"""
10,"=""""","=""26.7129920""","=""""","=""L15349"""
12,"=""""","=""26.7129933""","=""""","=""L15349"""
12,"=""""","=""26.71346441""","=""""","=""L15349"""
14,"=""""","=""26.7134644""","=""""","=""L15349"""
10,"=""""","=""26.767405""","=""""","=""L15349"""
12,"=""""","=""26.772202""","=""""","=""L15349"""
10,"=""""","=""26.772359""","=""""","=""L15349"""
12,"=""""","=""26.778505""","=""""","=""L15349"""
14,"=""""","=""26.778524""","=""""","=""L15349"""
14,"=""""","=""26.7787432""","=""""","=""L15349"""
12,"=""""","=""26.7787494""","=""""","=""L15349"""
14,"=""""","=""26.7787809""","=""""","=""L15349"""
16,"=""""","=""26.7787823""","=""""","=""L15349"""
10,"=""""","=""26.7790114""","=""""","=""L15349"""
12,"=""""","=""26.7790130""","=""""","=""L15349"""
14,"=""""","=""26.7790641""","=""""","=""L15349"""
16,"=""""","=""26.7790645""","=""""","=""L15349"""
16,"=""""","=""26.7790993""","=""""","=""L15349"""
18,"=""""","=""26.7791000""","=""""","=""L15349"""
16,"=""""","=""26.7792085""","=""""","=""L15349"""
18,"=""""","=""26.7792089""","=""""","=""L15349"""
12,"=""""","=""26.7792435""","=""""","=""L15349"""
14,"=""""","=""26.7792445""","=""""","=""L15349"""
8,"=""""","=""26.7794127""","=""""","=""L15349"""
10,"=""""","=""26.7794127""","=""""","=""L15349"""
18,"=""""","=""26.7794755""","=""""","=""L15349"""
20,"=""""","=""26.7794772""","=""""","=""L15349"""
10,"=""""","=""26.7795606""","=""""","=""L15349"""
12,"=""""","=""26.7795623""","=""""","=""L15349"""
2,"=""""","=""26.889960""","=""""","=""L15349"""
14,"=""""","=""26.9166429""","=""""","=""L15349"""
16,"=""""","=""26.9166441""","=""""","=""L15349"""
10,"=""""","=""26.9166673""","=""""","=""L15349"""
12,"=""""","=""26.9166673""","=""""","=""L15349"""
12,"=""""","=""26.9170312""","=""""","=""L15349"""
14,"=""""","=""26.9170326""","=""""","=""L15349"""
16,"=""""","=""26.9170782""","=""""","=""L15349"""
18,"=""""","=""26.9170802""","=""""","=""L15349"""
12,"=""""","=""26.9172077""","=""""","=""L15349"""
14,"=""""","=""26.9172077""","=""""","=""L15349"""
16,"=""""","=""26.9174374""","=""""","=""L15349"""
14,"=""""","=""26.9174388""","=""""","=""L15349"""
12,"=""""","=""26.9736918""","=""""","=""L15349"""
14,"=""""","=""26.9736929""","=""""","=""L15349"""
16,"=""""","=""26.9739785""","=""""","=""L15349"""
14,"=""""","=""26.9739799""","=""""","=""L15349"""
10,"=""""","=""27.14521116""","=""""","=""L15349"""
12,"=""""","=""27.145213""","=""""","=""L15349"""
6,"=""""","=""27.152775""","=""""","=""L15349"""
4,"=""""","=""27.153006""","=""""","=""L15349"""
6,"=""""","=""27.1714508""","=""""","=""L15349"""
8,"=""""","=""27.172460""","=""""","=""L15349"""
14,"=""""","=""27.1777815""","=""""","=""L15349"""
12,"=""""","=""27.1777820""","=""""","=""L15349"""
8,"=""""","=""27.1831194""","=""""","=""L15349"""
6,"=""""","=""27.1831375""","=""""","=""L15349"""
8,"=""""","=""27.19190872""","=""""","=""L15349"""
10,"=""""","=""27.19191042""","=""""","=""L15349"""
10,"=""""","=""27.19247975""","=""""","=""L15349"""
12,"=""""","=""27.1924834""","=""""","=""L15349"""
,"=""""","=""27.62967""","=""""","=""L8844"""
14,"=""""","=""27.8476503""","=""""","=""L15349"""
12,"=""""","=""27.8476507""","=""""","=""L15349"""
