g,Prefix,Level (eV),Suffix,Reference
4,"=""""","=""0.00000000""","=""""","=""L15349"""
2,"=""""","=""0.17749368""","=""""","=""L15349"""
2,"=""""","=""13.4797526""","=""""","=""L15349"""
8,"=""""","=""16.40650186""","=""""","=""L15349"""
6,"=""""","=""16.42557623""","=""""","=""L15349"""
4,"=""""","=""16.44411446""","=""""","=""L15349"""
2,"=""""","=""16.45737782""","=""""","=""L15349"""
6,"=""""","=""16.64385439""","=""""","=""L15349"""
4,"=""""","=""16.74852891""","=""""","=""L15349"""
2,"=""""","=""16.81247225""","=""""","=""L15349"""
4,"=""""","=""17.140027439""","=""""","=""L15349"""
2,"=""""","=""17.265833524""","=""""","=""L15349"""
10,"=""""","=""17.62885633""","=""""","=""L15349"""
8,"=""""","=""17.69466481""","=""""","=""L15349"""
6,"=""""","=""17.74309101""","=""""","=""L15349"""
4,"=""""","=""17.77579262""","=""""","=""L15349"""
2,"=""""","=""17.94175110""","=""""","=""L15349"""
4,"=""""","=""18.06063988""","=""""","=""L15349"""
2,"=""""","=""18.25395203""","=""""","=""L15349"""
4,"=""""","=""18.28805528""","=""""","=""L15349"""
6,"=""""","=""18.33428084""","=""""","=""L15349"""
4,"=""""","=""18.426549103""","=""""","=""L15349"""
6,"=""""","=""18.454114013""","=""""","=""L15349"""
8,"=""""","=""18.495869040""","=""""","=""L15349"""
6,"=""""","=""18.615942491""","=""""","=""L15349"""
4,"=""""","=""18.656521057""","=""""","=""L15349"""
6,"=""""","=""18.732439371""","=""""","=""L15349"""
10,"=""""","=""19.11606897""","=""""","=""L15349"""
8,"=""""","=""19.11886231""","=""""","=""L15349"""
6,"=""""","=""19.222902151""","=""""","=""L15349"""
4,"=""""","=""19.261084163""","=""""","=""L15349"""
2,"=""""","=""19.30534490""","=""""","=""L15349"""
8,"=""""","=""19.49453389""","=""""","=""L15349"""
6,"=""""","=""19.549011775""","=""""","=""L15349"""
4,"=""""","=""19.61030789""","=""""","=""L15349"""
2,"=""""","=""19.64258207""","=""""","=""L15349"""
6,"=""""","=""19.680048951""","=""""","=""L15349"""
4,"=""""","=""19.762261075""","=""""","=""L15349"""
2,"=""""","=""19.801086565""","=""""","=""L15349"""
4,"=""""","=""19.867157038""","=""""","=""L15349"""
4,"=""""","=""19.96749907""","=""""","=""L15349"""
2,"=""""","=""19.972538226""","=""""","=""L15349"""
6,"=""""","=""20.24656525""","=""""","=""L15349"""
8,"=""""","=""20.272226904""","=""""","=""L15349"""
2,"=""""","=""20.74354606""","=""""","=""L15349"""
6,"=""""","=""21.127033505""","=""""","=""L15349"""
8,"=""""","=""21.143075448""","=""""","=""L15349"""
4,"=""""","=""21.351799846""","=""""","=""L15349"""
2,"=""""","=""21.42648951""","=""""","=""L15349"""
6,"=""""","=""21.36689104""","=""""","=""L15349"""
4,"=""""","=""21.42814610""","=""""","=""L15349"""
4,"=""""","=""21.492402391""","=""""","=""L15349"""
6,"=""""","=""21.498049871""","=""""","=""L15349"""
4,"=""""","=""21.62407061""","=""""","=""L15349"""
2,"=""""","=""21.67504277""","=""""","=""L15349"""
6,"=""""","=""22.26659804""","=""""","=""L15349"""
4,"=""""","=""22.30870487""","=""""","=""L15349"""
6,"=""""","=""22.514803938""","=""""","=""L15349"""
4,"=""""","=""22.592663597""","=""""","=""L15349"""
2,"=""""","=""22.683065435""","=""""","=""L15349"""
4,"=""""","=""22.700377572""","=""""","=""L15349"""
2,"=""""","=""22.802509716""","=""""","=""L15349"""
8,"=""""","=""22.77287965""","=""""","=""L15349"""
6,"=""""","=""22.78797918""","=""""","=""L15349"""
4,"=""""","=""22.81135843""","=""""","=""L15349"""
2,"=""""","=""22.83687165""","=""""","=""L15349"""
2,"=""""","=""22.82463962""","=""""","=""L15349"""
10,"=""""","=""22.94864813""","=""""","=""L15349"""
8,"=""""","=""23.01454553""","=""""","=""L15349"""
6,"=""""","=""23.070289982""","=""""","=""L15349"""
4,"=""""","=""23.103285166""","=""""","=""L15349"""
2,"=""""","=""23.08230349""","=""""","=""L15349"""
4,"=""""","=""23.11937815""","=""""","=""L15349"""
6,"=""""","=""23.17153570""","=""""","=""L15349"""
8,"=""""","=""23.162238164""","=""""","=""L15349"""
6,"=""""","=""23.258113744""","=""""","=""L15349"""
6,"=""""","=""23.404027598""","=""""","=""L15349"""
4,"=""""","=""23.438088809""","=""""","=""L15349"""
2,"=""""","=""23.48728630""","=""""","=""L15349"""
8,"=""""","=""23.484470418""","=""""","=""L15349"""
6,"=""""","=""23.514204395""","=""""","=""L15349"""
4,"=""""","=""23.570177223""","=""""","=""L15349"""
2,"=""""","=""23.64788005""","=""""","=""L15349"""
2,"=""""","=""23.54889313""","=""""","=""L15349"""
4,"=""""","=""23.63042494""","=""""","=""L15349"""
2,"=""""","=""23.58132422""","=""""","=""L15349"""
4,"=""""","=""23.619908872""","=""""","=""L15349"""
6,"=""""","=""23.620386781""","=""""","=""L15349"""
4,"=""""","=""23.682522355""","=""""","=""L15349"""
2,"=""""","=""23.67388033""","=""""","=""L15349"""
4,"=""""","=""23.702008951""","=""""","=""L15349"""
4,"=""""","=""23.80181442""","=""""","=""L15349"""
2,"=""""","=""23.84631466""","=""""","=""L15349"""
6,"=""""","=""23.87401512""","=""""","=""L15349"""
4,"=""""","=""23.89325004""","=""""","=""L15349"""
10,"=""""","=""24.15215486""","=""""","=""L15349"""
8,"=""""","=""24.15487223""","=""""","=""L15349"""
6,"=""""","=""24.15972864""","=""""","=""L15349"""
8,"=""""","=""24.16242396""","=""""","=""L15349"""
4,"=""""","=""24.17649235""","=""""","=""L15349"""
6,"=""""","=""24.18078735""","=""""","=""L15349"""
12,"=""""","=""24.19224889""","=""""","=""L15349"""
